Name,2020-07-18 20:00,2020-07-18 21:00,2020-07-18 22:00,2020-07-18 23:00,2020-07-19 00:00,2020-07-19 01:00,2020-07-19 02:00,2020-07-19 03:00,2020-07-19 04:00,2020-07-19 05:00,2020-07-19 06:00,2020-07-19 07:00,2020-07-19 08:00,2020-07-19 09:00,2020-07-19 10:00,2020-07-19 11:00,2020-07-19 12:00,2020-07-19 13:00,2020-07-19 14:00,2020-07-19 15:00,2020-07-19 16:00,2020-07-19 17:00,2020-07-19 18:00,2020-07-19 19:00,2020-07-19 20:00,2020-07-19 21:00,2020-07-19 22:00,2020-07-19 23:00,2020-07-20 00:00,2020-07-20 01:00,2020-07-20 02:00,2020-07-20 03:00,2020-07-20 04:00,2020-07-20 05:00,2020-07-20 06:00,2020-07-20 07:00
AANSH IVF Hospitals Pvt Ltd,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6
ABHAYA EYE HOspital,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
ABHAYA HOSPITAL,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ACE Suhas Hospital,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
ANUPAMA HOSPITAL,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
APOLLO HOSPITALS ENTERPRISE LIMITED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5
ASTRA SUPER SPECIALITY HOSPITAL,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12
AYESHA SPECIALITY HOSPITAL,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Aashirvad Hospital,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6
Aaxis Hospital,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12
Abhay Vasishtha Hospital,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Abhinav Hospital,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Adarsh Multi Speciality Hospital,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Agadi Hospital,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8
Akash Hospital,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Akshaya Eye Hospital A Unit of Right Axis Eye Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akshaya Nursing Home,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Ananya Hospital Pvt Ltd Rajajinagar,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24
Anjani Hospital,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Anugraha Vittala Hospital,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Apollo Bangalore Cradle ltd,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Apollo Hospitals Bannerghatta A Unit of Imperial Hospital,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,95,95,95,95,95,95,95,95,95,95,95
Apollo Specialty Hospital Pvt Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
